 ,Basel,Basel,Basel,Basel
lat,47.75,47.75,47.75,47.75
lon,7.5,7.5,7.5,7.5
asl,363.653,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature ,Basel Relative Humidity ,Basel Wind Speed,Basel Wind Direction
20220326T1500,20.020245,32.177643,12.181624,34.159683
20220326T1600,20.200245,30.945395,12.594856,30.963745
20220326T1700,19.530245,33.2704,11.298495,22.479431
20220326T1800,17.810246,36.701126,9.793058,17.102722
20220326T1900,14.770246,44.491604,9.107359,18.434952
20220326T2000,12.790245,49.73417,9.659814,26.565033
20220326T2100,11.120245,53.63242,9.585739,34.286865
20220326T2200,9.490245,57.7147,9.449572,40.364532
20220326T2300,8.610246,57.98244,9.339208,27.552795
20220327T0000,8.030246,58.590935,8.942214,40.100906
20220327T0100,7.2402453,61.088314,7.928177,50.527527
20220327T0200,6.5702453,61.996384,6.9527545,68.7495
20220327T0300,5.710245,65.66181,5.6920996,71.56504
20220327T0400,4.650245,69.22298,5.3517847,70.346176
20220327T0500,3.7702456,71.88419,5.8603754,79.38034
20220327T0600,2.8202453,76.1081,5.4477882,82.40536
20220327T0700,3.1202455,77.23472,4.379589,80.537674
20220327T0800,6.8302455,68.06178,3.319036,77.47118
20220327T0900,10.000245,53.629963,3.219938,63.43495
20220327T1000,12.630245,42.53668,3.6,53.130096
20220327T1100,14.670245,41.324375,2.9024127,82.874985
20220327T1200,16.360247,39.76282,3.319036,77.47118
20220327T1300,17.820246,38.007534,4.39436,55.007973
20220327T1400,18.990246,35.40765,5.0911684,44.999985
20220327T1500,19.810246,34.6064,5.3517847,42.27368
20220327T1600,20.120245,33.99315,5.3999996,36.86989
20220327T1700,19.880245,35.120163,4.6800003,22.619858
20220327T1800,18.380245,43.801506,6.162207,353.29016
20220327T1900,13.470245,55.51295,8.049845,349.69516
20220327T2000,11.900246,57.569103,8.64,360
20220327T2100,10.690246,61.5195,8.654986,16.927505
20220327T2200,8.370246,69.28835,7.491114,35.217575
20220327T2300,8.010245,65.918915,2.5455842,135
20220328T0000,7.2402453,69.89108,4.0249224,153.43495
20220328T0100,6.0902452,73.20433,4.510787,151.38954
20220328T0200,5.5302453,75.12894,4.6800003,157.38013
20220328T0300,4.670245,77.230484,4.0249224,153.43495
20220328T0400,3.8302455,78.38388,4.198285,149.03624
20220328T0500,3.1202455,82.30797,4.39436,145.00798
20220328T0600,2.8002453,83.166275,4.829907,153.43495
20220328T0700,3.7602453,79.17518,5.815978,158.1986
20220328T0800,7.190245,71.24749,7.072878,165.25644
20220328T0900,10.690246,57.167645,5.2416787,164.0546
20220328T1000,13.640245,49.446327,5.04,180
20220328T1100,16.330246,42.747734,4.6800003,202.61987
20220328T1200,18.460245,35.301296,5.315336,208.30077
20220328T1300,19.970245,27.954138,5.0142193,201.0375
20220328T1400,20.920246,23.260345,5.6233797,219.80557
20220328T1500,21.370245,21.121683,5.8048253,240.25513
20220328T1600,21.340246,21.00435,5.0142193,248.9625
20220328T1700,20.780245,25.43068,1.8,270
20220328T1800,18.800245,35.05078,1.609969,63.43495
20220328T1900,14.660245,40.14532,2.9024127,119.74488
20220328T2000,12.640245,45.81025,1.8,143.1301
20220328T2100,10.170245,55.25101,1.835647,168.69006
20220328T2200,8.750245,62.90415,3.671294,168.69006
20220328T2300,8.660245,59.48535,5.1544156,167.90524
20220329T0000,7.6802454,66.31765,6.638072,167.47119
20220329T0100,7.6202455,67.653015,8.12197,167.19574
20220329T0200,7.3002453,69.005974,7.2805495,171.46924
20220329T0300,6.9102454,70.12227,6.2145634,169.99202
20220329T0400,6.480245,72.861435,5.6920996,161.56505
20220329T0500,6.1802454,73.64524,5.6920996,161.56505
20220329T0600,6.270245,72.81938,5.3517847,160.34618
20220329T0700,6.630245,72.73451,5.2416787,164.0546
20220329T0800,8.800245,67.43551,6.638072,167.47119
20220329T0900,11.070246,59.21659,6.849467,176.98721
20220329T1000,13.820246,49.95643,5.4477882,172.40535
20220329T1100,15.180245,46.816788,2.0364676,135
20220329T1200,16.820246,39.05526,5.937272,165.96376
20220329T1300,18.090246,33.952003,11.119281,209.05461
20220329T1400,18.830246,32.174183,13.830749,231.3402
20220329T1500,18.870245,31.771736,14.345898,252.47443
20220329T1600,18.700245,32.04347,11.542478,273.57632
20220329T1700,18.010244,39.407795,9,270
20220329T1800,17.030245,39.6504,4.3349743,265.23636
20220329T1900,15.640245,40.9927,4.2136917,289.98312
20220329T2000,13.980246,48.81014,2.8116899,140.19443
20220329T2100,12.700245,54.452106,3.4152596,161.56505
20220329T2200,12.250245,57.660797,1.8,180
20220329T2300,11.720245,62.209953,6.9899354,168.11134
20220330T0000,12.040245,61.72271,6.28713,166.75948
20220330T0100,11.900246,62.516357,5.4477882,187.59465
20220330T0200,12.090245,61.131535,5.8048253,209.74489
20220330T0300,11.690246,66.1562,5.495161,211.6075
20220330T0400,10.850245,75.25519,5.8048253,187.12502
20220330T0500,10.590245,79.7567,4.5536795,161.56505
20220330T0600,10.440246,83.54876,4.1046314,164.74487
20220330T0700,10.100245,88.51097,3.9763298,174.80557
20220330T0800,10.320246,90.41882,6.638072,192.52881
20220330T0900,10.510245,91.54441,8.534353,207.64598
20220330T1000,11.130245,89.9344,10.195057,227.86241
20220330T1100,11.470245,88.57756,10.182337,225
20220330T1200,12.190246,84.735,9.693296,238.67131
20220330T1300,13.010245,80.27862,9.339208,242.44719
20220330T1400,13.0602455,77.82868,6.489992,250.55997
20220330T1500,13.020246,75.175,5.4119864,273.8141
20220330T1600,12.600245,77.01839,5.0911684,315
20220330T1700,11.940246,80.17713,5.154415,335.22485
20220330T1800,11.170245,84.04082,2.0991426,329.03625
20220330T1900,10.390245,87.87709,1.08,180
20220330T2000,10.140245,91.829346,1.2979984,236.30994
20220330T2100,9.370245,95.99885,3.396233,237.99463
20220330T2200,8.920245,97.100174,2.8116899,219.80557
20220330T2300,9.370245,93.93008,1.9386592,201.8014
20220331T0000,8.150246,96.876045,2.9024127,172.87498
20220331T0100,7.5302453,98.536606,4.0249224,206.56505
20220331T0200,7.480245,98.535515,4.0249224,206.56505
20220331T0300,7.8102455,98.20498,4.1046314,232.12502
20220331T0400,7.8902454,97.73614,4.0249224,243.43495
20220331T0500,7.6402454,97.52759,2.5455842,225
20220331T0600,7.750245,96.52945,3.319036,220.6013
20220331T0700,7.7402453,96.13103,3.2599385,186.3402
20220331T0800,8.530246,94.72416,3.319036,229.39871
20220331T0900,9.220245,92.20497,5.0911684,261.8699
20220331T1000,9.840245,85.62309,7.9932976,262.23483
20220331T1100,10.570246,87.536415,5.8603754,259.38034
20220331T1200,10.530245,88.19038,8.647496,267.61407
20220331T1300,10.430245,87.3436,10.8955765,277.59464
20220331T1400,10.000245,88.38075,9.6932955,285.06848
20220331T1500,9.740245,85.259285,6.725354,285.5241
20220331T1600,9.070246,85.06267,7.8625183,285.9454
20220331T1700,8.410246,84.86526,11.503113,290.1363
20220331T1800,7.940245,88.24193,12.496718,311.49646
20220331T1900,7.290245,88.48549,12.768586,319.57394
20220331T2000,7.020245,88.76884,11.200571,315
20220331T2100,6.6802454,89.36018,8.435069,309.80557
20220331T2200,6.4702454,89.15258,7.0911775,293.9625
20220331T2300,6.3202453,87.64523,6.638072,310.60132
20220401T0000,6.0502453,88.4865,5.8048253,299.74487
20220401T0100,5.6602454,88.76059,7.42159,309.09387
20220401T0200,5.3002453,89.60988,8.669949,311.63354
20220401T0300,5.170245,88.397285,10.1887,327.99463
20220401T0400,4.880245,86.93039,8.534353,332.35403
20220401T0500,4.5102453,86.268326,8.435069,320.19443
20220401T0600,4.0302453,87.08311,8.913181,316.6366
20220401T0700,3.6002455,88.17003,9.422101,316.54816
20220401T0800,3.1002455,89.07654,10.691453,315
20220401T0900,2.8902454,88.669525,11.457958,316.273
20220401T1000,2.8702455,86.697556,11.720751,312.51044
20220401T1100,2.8102455,85.8756,13.570615,291.8014
20220401T1200,2.9002452,86.44983,15.580141,310.31412
20220401T1300,3.1102452,87.29281,14.904173,322.85333
20220401T1400,3.2702456,87.62698,12.738099,317.29062
20220401T1500,2.7402453,91.38843,10.296251,306.46924
20220401T1600,2.8502455,91.2001,9.686609,311.98724
20220401T1700,2.5602455,93.71182,8.714677,308.29016
20220401T1800,2.0802455,98.03884,8.435069,320.19443
20220401T1900,1.8802454,98.52808,8.217153,331.1892
20220401T2000,1.6002454,96.75393,11.043261,340.9744
20220401T2100,1.1802454,94.92239,12.7279215,351.8699
20220401T2200,0.7502454,93.03987,12.261158,356.63354
20220401T2300,0.2902454,92.59535,10.823973,3.8140564
20220402T0000,0.14024541,89.82385,10.446206,358.0251
20220402T0100,0.060245395,89.683,9.779817,353.65985
20220402T0200,0.050245404,90.34781,9.6932955,344.93152
20220402T0300,0.14024541,90.55698,11.367109,349.04596
20220402T0400,0.1802454,92.11035,11.928989,354.8056
20220402T0500,0.19024539,93.82193,12.245294,1.6846771
20220402T0600,0.2402454,94.5173,11.901798,356.5318
20220402T0700,0.3602454,94.45575,13.363711,355.36456
20220402T0800,0.6102454,93.71383,17.283749,1.1934662
20220402T0900,1.0802454,92.11709,18.089775,5.7105865
20220402T1000,1.5602454,89.04831,19.296133,8.583603
20220402T1100,2.2602453,83.51601,16.263872,5.07959
20220402T1200,2.6602454,81.28216,18.532133,7.8152924
20220402T1300,2.5102453,80.60565,18.806337,5.492325
20220402T1400,2.4502454,79.244835,18.089775,5.7105865
20220402T1500,2.1502454,78.72782,18.057508,4.573929
20220402T1600,1.8802454,78.91421,17.313717,3.5763245
20220402T1700,1.7402455,78.01807,15.876775,3.9004822
20220402T1800,1.6102453,78.16874,13.698934,3.0127716
20220402T1900,1.4602454,79.13471,11.525623,358.21008
20220402T2000,1.2302454,81.84128,9.826088,351.57306
20220402T2100,1.1802454,83.11547,9.114471,350.90973
20220402T2200,1.1302454,85.41085,8.669949,355.23636
20220402T2300,0.6202454,87.51736,8.4042845,350.13422
20220403T0000,0.6302454,88.55806,7.9932976,352.23483
20220403T0100,0.5102454,88.21866,7.2359104,354.28943
20220403T0200,0.4302454,89.126595,6.5693827,350.5377
20220403T0300,0.5502454,88.87662,6.87779,353.991
20220403T0400,0.2902454,89.90527,8.287822,2.4895477
20220403T0500,0.3202454,89.97464,7.9932976,7.765167
20220403T0600,0.3802454,90.37965,7.6367526,8.130096
20220403T0700,0.5902454,90.26678,8.825508,11.76828
20220403T0800,1.0002453,88.92442,12.245293,24.304535
20220403T0900,1.8402454,80.67606,12.4811535,33.231705
20220403T1000,2.8902454,75.06253,12.4811535,33.231705
20220403T1100,3.1802454,72.613396,14.88242,32.152283
20220403T1200,3.4102454,68.94393,13.70839,29.931503
20220403T1300,3.8202453,66.92245,12.10157,30.37912
20220403T1400,4.150245,66.26043,10.315115,29.24881
20220403T1500,4.1402454,65.72004,9.693296,21.801407
20220403T1600,3.9802456,67.35816,9.83268,23.749481
20220403T1700,3.8702455,67.73265,9.826088,8.426956
20220403T1800,3.5502453,68.16224,10.495713,5.906128
20220403T1900,3.4802456,67.14086,9.028754,4.573929
20220403T2000,2.8602452,68.460434,7.2359104,5.7105865
20220403T2100,2.3302455,71.79163,6.130579,3.3664398
20220403T2200,1.5602454,76.26566,6.130579,3.3664398
20220403T2300,0.5302454,81.97629,5.4119864,3.8140564
20220404T0000,1.0502454,77.72036,5.8048253,7.125
20220404T0100,0.7102454,78.24152,2.968636,345.96375
20220404T0200,0.1502454,78.96656,3.0547013,315
20220404T0300,-0.3097546,80.86815,4.2136917,289.98312
20220404T0400,-0.39975458,80.00654,2.3051248,218.65982
20220404T0500,-1.0697546,82.59255,1.2979984,303.69006
20220404T0600,-1.4597546,83.284676,1.9386592,338.1986
20220404T0700,-1.5797547,88.84327,2.9024127,187.12502
20220404T0800,0.5702454,78.686035,4.452954,194.03624
20220404T0900,2.2002454,71.55003,4.1046314,232.12502
20220404T1000,3.8702455,65.45973,6.763786,244.79889
20220404T1100,4.980245,58.549282,9.983106,244.359
20220404T1200,5.920245,56.53538,11.304229,232.76517
20220404T1300,6.7002454,53.72211,13.783817,229.23639
20220404T1400,7.5302453,53.600563,15.30741,228.81409
20220404T1500,8.150246,51.831963,17.0763,235.30484
20220404T1600,8.490246,50.6448,17.555307,241.8584
20220404T1700,8.390245,50.13167,17.114204,247.75098
20220404T1800,7.8002453,51.84583,12.57426,246.37064
20220404T1900,6.710245,54.812973,10.30883,245.22485
20220404T2000,6.610245,55.19281,8.534353,242.35403
20220404T2100,6.6602454,54.920986,9,233.1301
20220404T2200,6.5702453,56.255222,10.703569,227.72632
20220404T2300,6.1202455,63.166634,11.808878,232.43141
20220405T0000,6.190245,63.508926,9.19939,210.57922
20220405T0100,6.0902452,64.13843,9.693296,211.32869
20220405T0200,6.0102453,63.884315,11.183201,213.17851
20220405T0300,5.9702454,64.15593,12.413477,209.53879
20220405T0400,5.9102454,65.66154,11.298495,210.65067
20220405T0500,5.400245,70.510925,10.685391,212.61925
20220405T0600,5.3002453,73.845375,10.883676,214.2157
20220405T0700,5.3402452,75.74717,10.1887,212.00539
20220405T0800,5.6002455,75.686066,12.783802,212.34744
20220405T0900,6.3202453,74.899956,13.276144,220.6013
20220405T1000,7.1202455,71.64271,11.988594,221.34778
20220405T1100,7.8502455,64.93941,11.91812,205.01689
20220405T1200,8.690246,62.528725,13.363711,207.25533
20220405T1300,9.830245,61.216988,13.608762,217.47618
20220405T1400,10.450245,62.649036,13.493999,223.91908
20220405T1500,11.080245,63.918465,14.05845,230.19443
20220405T1600,11.340245,65.52421,13.584932,237.99463
20220405T1700,11.370245,68.3359,11.966953,248.83875
20220405T1800,10.930245,71.35593,7.8954163,245.77226
20220405T1900,10.340245,75.53,6.193674,234.46233
20220405T2000,9.870245,78.06155,6.696387,216.25385
20220405T2100,9.630245,79.77574,5.634891,206.56505
20220405T2200,9.240245,82.64674,5.937272,194.03624
20220405T2300,8.650246,86.079926,7.42159,202.83365
20220406T0000,9.040245,85.23574,5.6920996,198.43495
20220406T0100,9.120245,85.836044,4.896529,197.10272
20220406T0200,9.360246,85.1559,5.6920996,198.43495
20220406T0300,9.720245,85.43299,5.6920996,198.43495
20220406T0400,9.910245,86.27967,5.5887027,194.93143
20220406T0500,10.150246,85.95221,6.2145634,190.00798
20220406T0600,10.370245,85.91795,6.162207,186.70984
20220406T0700,10.3102455,86.38237,6.924738,188.97263
20220406T0800,10.480246,84.24331,7.628263,199.29004
20220406T0900,10.770246,81.50001,10.195057,222.1376
20220406T1000,11.650246,76.07337,11.384198,235.30484
20220406T1100,12.350245,73.88464,10.703569,250.34618
20220406T1200,12.930245,71.35935,12.303366,249.44395
20220406T1300,13.780245,68.09835,13.207634,252.55283
20220406T1400,14.040245,65.36729,13.627795,257.79953
20220406T1500,14.100245,65.06767,13.202726,258.99646
20220406T1600,14.210245,62.722244,14.205182,261.25385
20220406T1700,13.960245,63.357872,12.287555,264.95755
20220406T1800,13.010245,67.09665,10.24578,251.56506
20220406T1900,12.200245,71.26388,9.290511,234.46233
20220406T2000,11.640245,74.9819,9.686609,221.98721
20220406T2100,11.740245,74.99978,12.7279215,225
20220406T2200,11.900246,74.20852,15.408671,232.59465
20220406T2300,11.730246,77.82685,14.57889,237.09476
20220407T0000,10.840245,83.086914,15.277749,235.561
20220407T0100,10.440246,83.20581,15.876775,237.0306
20220407T0200,10.0602455,82.13238,16.418526,232.12502
20220407T0300,10.050245,79.45433,16.704155,217.11687
20220407T0400,10.110246,76.49243,19.8,216.8699
20220407T0500,10.300245,73.860985,20.929594,220.8151
20220407T0600,10.630245,72.29617,21.175837,215.31122
20220407T0700,10.990245,70.52877,21.566973,213.4248
20220407T0800,11.240245,69.89625,24.162947,213.45331
20220407T0900,11.450245,71.360825,26.867676,215.18071
20220407T1000,11.300245,75.75161,27.059933,213.05582
20220407T1100,11.690246,76.551414,28.8,216.8699
20220407T1200,11.5602455,77.32092,33.190357,220.60129
20220407T1300,11.370245,77.55527,33.3559,223.68811
20220407T1400,12.0602455,74.33969,32.917862,221.0091
20220407T1500,12.330245,75.8785,33.425762,221.06982
20220407T1600,12.440246,75.124115,33.092598,225
20220407T1700,11.930245,79.95764,32.353966,227.25458
20220407T1800,11.8102455,81.20156,29.01966,225
20220407T1900,11.590245,80.78421,29.546328,226.97495
20220407T2000,11.800245,81.69867,30.319178,227.40598
20220407T2100,11.920245,83.11293,27.41678,240.0685
20220407T2200,11.740245,86.827644,24.336637,262.34937
20220407T2300,11.490245,86.74311,17.76081,252.29958
20220408T0000,10.950245,83.04442,17.193533,250.42688
20220408T0100,10.320246,80.156685,19.386593,248.1986
20220408T0200,9.620245,82.412796,20.345573,256.70142
20220408T0300,9.220245,84.55317,18.556595,251.91656
20220408T0400,8.960245,86.353226,17.992796,250.11484
20220408T0500,8.880245,88.394936,17.068707,242.35403
20220408T0600,8.8102455,90.73184,15.496736,239.26453
20220408T0700,8.950245,89.87412,13.479583,235.88553
20220408T0800,9.150246,90.26216,11.753876,220.03026
20220408T0900,9.670245,90.058334,11.298495,210.65067
20220408T1000,10.370245,89.01972,10.239453,190.12466
20220408T1100,11.5602455,85.06379,13.527572,205.20113
20220408T1200,12.590245,82.41621,26.758923,222.2737
20220408T1300,12.950245,78.92527,29.568253,222.03906
20220408T1400,12.590245,78.442986,33.190357,229.39871
20220408T1500,12.460245,80.14443,28.555965,236.30994
20220408T1600,13.170245,77.05994,28.00837,232.83553
20220408T1700,13.270246,78.12563,25.233404,227.89127
20220408T1800,13.050245,79.42206,23.424908,226.24536
20220408T1900,13.130245,76.688736,26.493652,227.2026
20220408T2000,13.030245,75.38148,26.596178,219.50768
20220408T2100,13.210245,72.74246,28.963785,212.30734
20220408T2200,12.930245,72.14496,34.802895,219.1226
20220408T2300,11.780245,73.17223,29.268686,238.06932
20220409T0000,10.330245,81.831116,25.233406,255.96376
20220409T0100,7.860245,90.153786,21.096123,306.67438
20220409T0200,4.3702455,93.23203,19.995398,336.66595
20220409T0300,3.4302454,90.40117,11.988594,318.65222
20220409T0400,3.2502456,85.743515,11.726277,287.8787
20220409T0500,3.1902456,87.17571,7.928178,272.60257
20220409T0600,3.2502456,87.624756,7.5170207,253.30075
20220409T0700,3.5802455,84.736725,9.346143,254.35776
20220409T0800,4.2502456,80.23894,8.707238,262.875
20220409T0900,4.7802453,75.642944,7.771331,283.39252
20220409T1000,5.6002455,66.45785,7.5685663,295.3462
20220409T1100,6.1802454,72.06991,6.9153743,308.65982
20220409T1200,7.020245,68.20284,9,306.8699
20220409T1300,7.8002453,64.13589,8.427383,289.98312
20220409T1400,8.320246,60.526375,9.885262,280.4915
20220409T1500,8.240246,60.112404,10.390226,284.03625
20220409T1600,8.750245,57.183773,11.27553,286.69925
20220409T1700,8.580245,58.354404,11.165805,290.77228
20220409T1800,8.000245,60.66365,10.383987,303.69006
20220409T1900,6.9902453,66.733826,4.3498964,294.44397
20220409T2000,5.2202454,73.2959,6.6185193,247.61987
20220409T2100,4.670245,81.237366,6.696387,233.74615
20220409T2200,4.6602454,83.12808,6.9153743,231.3402
20220409T2300,4.3902454,83.21,6.5693827,260.5377
20220410T0000,4.1402454,86.783516,7.8954163,245.77226
20220410T0100,3.2902455,90.648994,8.4963045,233.61565
20220410T0200,2.5002456,92.69865,7.386582,223.02507
20220410T0300,1.9602454,93.46764,5.1919937,213.69006
20220410T0400,1.2302454,94.92539,5.991594,212.73523
20220410T0500,0.89024544,95.94918,5.0142193,201.0375
20220410T0600,0.88024545,95.25127,4.802999,192.99461
20220410T0700,2.1802454,92.272575,4.379589,189.46233
20220410T0800,4.0702453,88.47327,3.7585104,196.69925
20220410T0900,5.8702455,81.82555,2.8116899,219.80557
20220410T1000,7.4502454,66.79181,2.9024127,262.875
20220410T1100,8.720245,54.850945,4.1046314,232.12502
20220410T1200,9.760245,46.437237,2.968636,255.96376
20220410T1300,10.550245,42.564568,2.5959969,236.30994
20220410T1400,11.080245,40.328773,1.835647,258.69006
20220410T1500,11.460245,39.146458,1.1384199,341.56506
20220410T1600,11.820246,37.8826,0.35999998,270
20220410T1700,11.970245,37.70373,1.8,53.130096
20220410T1800,11.340245,40.95035,4.829907,63.43495
20220410T1900,8.500245,51.627827,7.7043357,52.594643
20220410T2000,5.5502453,66.2032,8.39657,59.036232
20220410T2100,4.2302456,73.364586,7.9036193,59.93141
20220410T2200,3.3602452,78.18827,7.4128532,60.945396
20220410T2300,2.6702452,82.48199,6.8399997,89.99999
20220411T0000,2.3802454,83.471855,7.172949,107.52557
20220411T0100,2.4402454,83.78615,7.628263,109.29004
20220411T0200,2.1502454,84.42325,8.557102,112.249016
20220411T0300,2.1002455,83.92302,8.311245,107.650116
20220411T0400,1.9502454,84.458015,6.725354,105.5241
20220411T0500,1.6902454,83.92753,5.3517847,109.653824
20220411T0600,1.1402454,84.34732,3.396233,122.00538
20220411T0700,2.9302454,80.495865,6.1094027,135
20220411T0800,5.730245,70.01996,6.3690495,132.70938
20220411T0900,7.790245,62.93922,6.696387,126.25384
20220411T1000,9.800245,56.76579,6.28713,113.62937
20220411T1100,11.740245,53.077854,5.3517847,109.653824
20220411T1200,13.550245,48.61747,6.151683,110.556046
20220411T1300,14.910245,45.78643,7.145796,130.91438
20220411T1400,16.130245,40.96254,7.5942082,148.57043
20220411T1500,17.010244,38.283424,6.9153743,141.34018
20220411T1600,17.520245,36.094345,6.3690495,132.70938
20220411T1700,17.410246,37.2157,6.12,118.07248
20220411T1800,16.390245,46.671288,4.68,89.99999
20220411T1900,14.290245,48.898743,5.771239,93.576324
20220411T2000,12.010245,59.08139,4.802999,102.99461
20220411T2100,10.530245,66.54499,4.2136917,109.9831
20220411T2200,9.570246,69.84025,5.1919937,123.69006
20220411T2300,8.890245,71.79888,7.289445,147.09476
20220412T0000,8.740245,71.66715,5.8603754,137.48955
20220412T0100,7.2202454,78.671486,6.3690495,132.70938
20220412T0200,6.7002454,79.824265,6.1305785,139.76364
20220412T0300,6.690245,78.92019,6.1305785,139.76364
20220412T0400,6.1202455,80.81975,6.696387,126.25384
20220412T0500,5.4102454,83.76864,7.2,126.869896
20220412T0600,4.980245,84.856575,7.5942082,121.429565
20220412T0700,6.8002453,81.38255,8.0899935,122.27564
20220412T0800,9.690246,72.2628,7.289445,122.90524
20220412T0900,11.940246,61.91507,6.297428,120.963745
20220412T1000,14.120245,55.066517,5.495161,121.6075
20220412T1100,16.050245,51.577393,7.145796,130.91438
20220412T1200,17.920246,47.271072,6.193674,144.46231
20220412T1300,19.730246,44.281258,5.3517847,132.27368
20220412T1400,20.940245,41.19054,5.904439,142.4314
20220412T1500,21.820246,39.287025,5.815978,158.1986
20220412T1600,22.050245,39.380524,5.8048253,172.87498
20220412T1700,21.890245,39.823303,5.5887027,165.06857
20220412T1800,20.700245,56.208252,3.2399998,180
20220412T1900,20.820246,44.500736,1.484318,284.03625
20220412T2000,18.240246,56.41292,4.3349743,94.76365
20220412T2100,16.990246,63.24368,3.671294,101.30993
20220412T2200,14.220245,75.841705,1.484318,165.96376
20220412T2300,12.990245,81.31085,0.8049845,206.56505
20220413T0000,13.230246,79.39539,2.7416782,203.1986
20220413T0100,12.910245,79.186554,7.7879906,213.69006
20220413T0200,12.320246,81.60384,7.628263,250.70996
20220413T0300,11.770246,82.64371,3.2399998,180
20220413T0400,10.660245,85.36589,6.489992,123.69006
20220413T0500,9.920245,87.89098,5.8603754,132.51044
20220413T0600,9.200245,89.035515,4.0249224,169.69516
20220413T0700,10.550245,86.05534,7.928178,182.60257
20220413T0800,13.480246,74.7471,8.049845,206.56505
20220413T0900,16.020247,60.04658,4.6800003,247.38014
20220413T1000,18.060246,50.37097,3.5455887,293.9625
20220413T1100,19.900246,44.91204,4.3349743,318.36646
20220413T1200,21.030245,42.247738,8.427383,340.0169
20220413T1300,21.890245,40.78954,6.379216,343.61047
20220413T1400,22.570246,39.53048,7.9526596,354.8056
20220413T1500,23.000246,38.957726,8.669949,4.7636414
20220413T1600,23.030245,39.68976,9.0645685,353.15723
20220413T1700,22.570246,42.687737,10.630672,331.69925
20220413T1800,21.620245,42.70707,8.699793,335.55603
20220413T1900,19.340246,51.693848,7.8625183,344.0546
20220413T2000,17.740246,56.20831,9.904906,340.90652
20220413T2100,17.300245,59.30704,8.854829,333.43497
20220413T2200,15.570246,66.46978,8.287822,325.6197
20220413T2300,16.080246,67.52836,6.9247384,297.89728
20220414T0000,15.230246,71.660614,4.6938252,274.3987
20220414T0100,13.280245,79.51002,5.154415,245.22485
20220414T0200,11.890245,84.757195,5.3517847,227.72632
20220414T0300,11.740245,86.24315,3.8268526,221.18593
20220414T0400,11.530245,86.337395,2.3051248,231.3402
20220414T0500,11.790245,85.72561,1.1384199,198.43495
20220414T0600,11.270246,87.25061,2.2768397,198.43495
20220414T0700,11.920245,87.31567,0.8049845,243.43495
20220414T0800,14.280245,77.60405,2.2768397,288.43497
20220414T0900,15.510245,72.00326,3.5455887,336.0375
20220414T1000,17.190245,63.716343,5.8603754,10.619659
20220414T1100,18.400246,63.481255,5.937272,14.03624
20220414T1200,19.660246,60.520515,6.489992,3.1798248
20220414T1300,20.560246,56.923973,7.9526596,354.8056
20220414T1400,21.250246,55.165966,9.779817,353.65985
20220414T1500,21.440245,53.76995,11.901798,356.5318
20220414T1600,21.800245,52.488518,12.245294,358.3153
20220414T1700,21.560246,51.49105,10.1376915,353.88452
20220414T1800,20.690245,54.475624,8.654986,343.0725
20220414T1900,19.030245,63.32935,9.9571085,347.4712
20220414T2000,17.950245,66.05245,9.3876505,355.60132
20220414T2100,16.980246,71.13736,6.5693827,9.462311
20220414T2200,15.660245,76.08321,4.6800003,337.38013
20220414T2300,13.490245,85.73859,7.928178,2.6025543
20220415T0000,13.580245,86.66684,4.8965297,36.027374
20220415T0100,14.110246,86.43334,6.6087217,29.357742
20220415T0200,13.800245,87.84767,6.792466,32.005356
20220415T0300,13.430245,89.40295,3.8773184,68.19859
20220415T0400,12.840245,91.21832,4.0249224,63.43495
20220415T0500,12.370245,93.89942,4.8965297,53.97262
20220415T0600,11.740245,93.678734,4.8965297,53.97262
20220415T0700,12.230246,92.15508,5.815978,68.19859
20220415T0800,13.740245,85.59441,4.6938257,32.47119
20220415T0900,15.440246,76.60585,6.830519,18.434952
20220415T1000,17.190245,69.7749,8.766573,19.179016
20220415T1100,18.310246,65.954834,7.8625183,15.945404
20220415T1200,19.580246,59.346992,10.028439,21.037506
20220415T1300,20.250246,53.854664,11.043261,19.025604
20220415T1400,20.900246,49.02223,11.090103,13.134018
20220415T1500,21.160246,46.608204,10.661107,11.689362
20220415T1600,21.190245,43.91264,10.239453,10.124664
20220415T1700,20.720245,44.260212,10.594036,9.782394
20220415T1800,19.930244,45.947674,9.3876505,4.398697
20220415T1900,18.420246,48.836166,7.928178,2.6025543
20220415T2000,16.010246,58.025578,7.2359104,5.7105865
20220415T2100,14.590245,63.11464,7.342588,11.309921
20220415T2200,13.350245,67.634094,7.172949,17.525558
20220415T2300,12.440246,70.82275,7.8954163,24.227737
20220416T0000,11.970245,72.05793,7.9036193,30.068573
20220416T0100,11.050245,75.08312,7.10031,30.465546
20220416T0200,9.5602455,79.26815,7.4128532,29.05458
20220416T0300,8.830245,81.563194,7.8954163,24.227737
20220416T0400,8.160246,83.71816,7.10031,30.465546
20220416T0500,7.400245,86.05712,6.8777895,42.87889
20220416T0600,6.860245,87.5177,7.10031,30.465546
20220416T0700,9.080245,82.739784,6.9247384,27.897263
20220416T0800,10.720245,76.70309,9.19939,30.579224
20220416T0900,12.520246,67.594185,11.966954,43.781113
20220416T1000,13.900246,62.08861,15.696165,53.392914
