 ,Basel,Basel,Basel,Basel
lat,47.75,47.75,47.75,47.75
lon,7.5,7.5,7.5,7.5
asl,363.653,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature ,Basel Relative Humidity ,Basel Wind Speed,Basel Wind Direction
20220105T1200,3.2502456,67.89054,14.869351,276.95297
20220105T1300,3.7002454,63.875984,15.192682,283.70697
20220105T1400,4.1002455,58.177803,14.759999,282.6804
20220105T1500,4.0402455,56.22099,12.371645,278.3659
20220105T1600,3.7402453,58.606697,9.47012,261.25385
20220105T1700,2.4002454,65.6889,7.10031,239.53445
20220105T1800,1.9502454,70.53971,5.6233797,230.19443
20220105T1900,0.9002454,78.567986,5.3517847,227.72632
20220105T2000,0.84024537,80.274216,5.6233797,230.19443
20220105T2100,1.2002454,80.51266,5.0911684,225
20220105T2200,1.3602455,81.2578,4.8433046,221.98721
20220105T2300,1.2002454,86.55992,6.151683,200.55605
20220106T0000,1.0702454,87.69847,5.95906,205.01689
20220106T0100,1.5602454,86.730934,5.1919937,213.69006
20220106T0200,1.7302454,86.87855,5.1165614,219.28941
20220106T0300,1.8102454,86.634026,4.8433046,221.98721
20220106T0400,2.0002456,86.3407,4.8433046,221.98721
20220106T0500,1.9902455,87.03653,5.1165614,219.28941
20220106T0600,1.8102454,88.94427,4.6102495,218.65982
20220106T0700,1.8002454,90.976204,4.3349743,221.63354
20220106T0800,1.6702454,92.83788,6.1305785,220.23636
20220106T0900,2.1002455,89.55911,5.00128,210.25644
20220106T1000,2.4702454,89.27122,3.0547013,225
20220106T1100,3.2502456,85.93003,4.39436,304.99203
20220106T1200,3.5602455,81.24367,6.28713,336.37064
20220106T1300,4.170245,77.64807,6.9899354,348.11133
20220106T1400,4.4802456,75.917366,6.130579,3.3664398
20220106T1500,4.150245,79.12522,5.1544156,12.094757
20220106T1600,3.9402456,81.36101,2.5455842,8.130096
20220106T1700,2.1902454,88.20972,1.835647,11.309921
